ENG,3.17E+10
ENOC,1.32E+11
ENPH,7.75E+10
ENSG,1190000
ENT,8.30E+11
ENTA,5.88E+11
ENTG,1850000
ENTL,3.07E+11
ENZN,3.00E+10
ENZY          ,2.26E+11
EPAY,1180000
EPIQ,4.88E+11
EPIX,1.16E+11
EPRS,1.18E+11
EPZM,6.35E+11
EQBK,1.65E+11
EQFN,2.85E+10
EQIX,1.71E+07
ERI,4.10E+11
ERIC,3.16E+07
ERIE,4230000
ERII,3.82E+11
ERS,3.15E+10
ERW,2.80E+10
ESBK,5.15E+10
ESCA,1.70E+11
ESEA,3.10E+10
ESES,4.42E+10
ESGR,3010000
ESIO,1.56E+11
ESLT,3680000
ESMC,7.90E+09
ESND,1320000
ESPR,5.91E+11
ESRX,5.72E+07
ESSA,1.52E+11
ESSF,0
ESSX,7.56E+09
ESXB,1.17E+11
ETFC,8860000
ETRM,1.98E+10
ETSY,9.50E+11
EUFN,4.06E+11
EVAR,2.44E+10
EVBS,9.03E+10
EVEP,1.69E+11
EVK,4.01E+10
EVLV,1.38E+11
EVOK,2.30E+10
EVOL,6.32E+10
EWBC,6120000
EXA,1.48E+11
EXAC,2.42E+11
EXAS,9.15E+11
EXEL,1240000
EXFO,7.31E+10
EXLS,1480000
EXPD,9170000
EXPE,1.64E+07
EXPO,1330000
EXTR,4.20E+11
EXXI,1.50E+11
EYEG,2.29E+10
EYEGW,0
EYES,1.71E+11
EZCH,7.48E+11
EZPW,3.13E+11
FALC,8.24E+10
FANG,5170000
FARM,4.84E+11
FARO,5.15E+11
FAST,1.15E+07
FATE,1.09E+11
FB,3.04E+08
FBIO,1.41E+11
FBIZ,2.24E+11
FBMS,8.57E+10
FBNC,3.83E+11
FBNK,2.86E+11
FBRC,1.41E+11
FBSS,5.88E+10
FBZ,2.71E+09
FCA,1.97E+10
FCAN,9.42E+09
FCAP,6.98E+10
FCBC,3.66E+11
FCCO,9.01E+10
FCCY,9.42E+10
FCEL,2.42E+11
FCFP,1.12E+11
FCFS,1070000
FCLF,6.69E+10
FCNCA,3170000
FCS,2230000
FCSC,2.39E+11
FCTY,8.64E+10
FCVA,7.32E+10
FCVT,0
FDEF,3.63E+11
FDIV,1.89E+10
FDML,1290000
FDT,1.58E+11
FDTS,8.20E+09
FDUS,2.24E+11
FEIC,3160000
FEIM,8.89E+10
FELE,1510000
FEM,1.55E+11
FEMB,0
FEMS,3.31E+10
FENX,1.23E+11
FEP,3.97E+11
FES,9.38E+09
FEUZ,1.09E+10
FEYE,3770000
FFBC,1220000
FFBCW,0
FFHL,1.16E+10
FFIC,6.46E+11
FFIN,2330000
FFIV,7290000
FFKT,2.02E+11
FFNM,2.49E+10
FFNW,1.87E+11
FFWM,3.73E+11
FGBI,1.29E+11
FGEN,1680000
FGM,2.31E+11
FHCO,4.54E+10
FHK,1.96E+11
FIBK,1360000
FINL,7.39E+11
FISI,3.81E+11
FISV,2.21E+07
FITB,1.61E+07
FITBI,5.15E+11
FIVE,1520000
FIVN,3.05E+11
FIZZ,1700000
FJP,1.01E+11
FKO,3.60E+09
FKU,2.76E+11
FLAG,1.25E+10
FLAT,4.90E+09
FLDM,2.82E+11
FLEX,6250000
FLIC,4.37E+11
FLIR,4130000
FLKS,2.00E+11
FLL,3.09E+10
FLML,5.52E+11
FLN,4.53E+09
FLWS,4.96E+11
FLXN,3.66E+11
FLXS,3.47E+11
FMB,2.08E+10
FMBH,2.07E+11
FMBI,1500000
FMER,3430000
FMI,5.64E+11
FMNB,2.27E+11
FNBC,7.87E+11
FNFG,3790000
FNGN,1810000
FNHC,3.99E+11
FNJN,3.15E+10
FNLC,2.29E+11
FNSR,1250000
FNTC,1.34E+11
FNTCU,0
FNTCW,0
FNWB,1.82E+11
FOGO,4.43E+11
FOLD,1340000
FOMX,2.15E+11
FONE,1.12E+10
FONR,9.23E+10
FORD,1.25E+10
FORK,4.61E+10
FORM,5.04E+11
FORR,5.66E+11
FORTY,4.20E+11
FOSL,1770000
FOX,6.01E+07
FOXA,3.67E+07
FOXF,6.59E+11
FPA,4.39E+10
FPRX,9.72E+11
FPXI,0
FRAN,5.94E+11
FRBA,5.52E+10
FRBK,1.69E+11
FRED,5.44E+11
FREE,0
FRGI,9.65E+11
FRME,1030000
FRP,4.66E+11
FRPH,3.14E+11
FRPT,2.29E+11
FRSH,2.04E+11
FSAM,2.20E+11
FSBK,8.07E+10
FSBW,8.34E+10
FSC,9.77E+11
FSCFL,0
FSFG,7.96E+10
FSFR,2.53E+11
FSLR,5490000
FSNN,1.73E+10
FSTR,1.26E+11
FSV,1320000
FSYS,9.93E+10
