Date,Open,High,Low,Close,Volume,Adj Close,action
8/4/14,569.042531,575.352561,564.102531,573.152619,1427300,573.152619,SELL
8/1/14,570.402584,575.962633,562.85252,566.072594,1955300,566.072594,BUY
7/31/14,580.602616,583.652668,570.002561,571.60253,2102800,571.60253,SELL
7/30/14,586.55265,589.502696,584.002627,587.42265,1016500,587.42265,SELL
7/29/14,588.752653,589.702707,583.517654,585.612633,1349900,585.612633,BUY
7/28/14,588.072688,592.502683,584.755668,590.602636,986800,590.602636,SELL
7/25/14,590.402686,591.862684,587.032665,589.022681,932500,589.022681,BUY
7/24/14,596.452725,599.502716,591.772715,593.352671,1035100,593.352671,SELL
7/23/14,593.232652,597.852683,592.502683,595.982686,1233200,595.982686,SELL
7/22/14,590.722655,599.652725,590.602636,594.742652,1699200,594.742652,BUY
7/21/14,591.752702,594.402731,585.235622,589.472645,2062100,589.472645,BUY
7/18/14,593.002712,596.802684,582.002635,595.082696,4014200,595.082696,SELL
7/17/14,579.532665,580.992601,568.61258,573.732579,3016600,573.732579,BUY
7/16/14,588.002671,588.402694,582.202646,582.662587,1397100,582.662587,SELL
7/15/14,585.742628,585.807626,576.562606,584.782659,1623000,584.782659,SELL
7/14/14,582.602608,585.212671,578.032641,584.872627,1854100,584.872627,SELL
7/11/14,571.912585,580.85263,571.422594,579.182645,1621700,579.182645,BUY
7/10/14,565.912548,576.592656,565.012558,571.102563,1356700,571.102563,BUY
7/9/14,571.582578,576.72259,569.378536,576.082652,1116800,576.082652,SELL
7/8/14,577.662607,579.530645,566.137592,571.092587,1909500,571.092587,BUY
7/7/14,583.76265,586.432631,579.592644,582.252649,1064600,582.252649,SELL
7/3/14,583.352589,585.01266,580.922585,584.732656,714200,584.732656,SELL
7/2/14,583.352589,585.442672,580.392628,582.33766,1056400,582.33766,BUY
7/1/14,578.32262,584.402649,576.652635,582.672624,1448000,582.672624,SELL
6/30/14,578.662603,579.572631,574.752588,575.282606,1313800,575.282606,BUY
6/27/14,577.182592,579.872648,573.802595,577.242632,2236900,577.242632,SELL
6/26/14,581.002639,582.45266,571.852545,576.002598,1742000,576.002598,BUY
6/25/14,565.262572,579.962616,565.222546,578.652627,1969400,578.652627,SELL
6/24/14,565.192556,572.648612,561.012574,564.622572,2207100,564.622572,BUY
6/23/14,555.152509,565.002582,554.252519,564.952579,1536800,564.952579,SELL
6/20/14,556.852484,557.582513,550.394526,556.362492,4508300,556.362492,BUY
6/19/14,554.242482,555.0025,548.512473,554.902556,2456800,554.902556,BUY
6/18/14,544.862448,553.562516,544.002484,553.372481,1741800,553.372481,BUY
6/17/14,544.202496,545.32245,539.33245,543.012465,1444600,543.012465,BUY
6/16/14,549.262515,549.62245,541.522477,544.282488,1702600,544.282488,SELL
6/13/14,552.262503,552.302469,545.562488,551.762536,1220500,551.762536,SELL
6/12/14,557.302509,557.992512,548.462531,551.352476,1458500,551.352476,BUY
6/11/14,558.002549,559.882522,555.022514,558.842561,1100100,558.842561,SELL
6/10/14,560.512546,563.602502,557.902544,560.552511,1351700,560.552511,SELL
6/9/14,557.152562,562.902584,556.042523,562.122552,1467500,562.122552,SELL
6/6/14,558.062528,558.062528,548.932448,556.332564,1736800,556.332564,BUY
6/5/14,546.402499,554.952498,544.452449,553.90256,1689100,553.90256,BUY
6/4/14,541.502464,548.612478,538.752429,544.662436,1816500,544.662436,BUY
6/3/14,550.99248,552.342557,542.552463,544.942501,1866600,544.942501,SELL
6/2/14,560.702581,560.902593,545.732448,553.932488,1435000,553.932488,SELL
5/30/14,560.802526,561.352496,555.912467,559.892559,1771100,559.892559,SELL
5/29/14,563.352549,564.002525,558.712565,560.082534,1354100,560.082534,SELL
5/28/14,564.57257,567.842585,561.002537,561.682502,1652000,561.682502,SELL
5/27/14,556.002496,566.002578,554.352463,565.952575,2104200,565.952575,SELL
5/23/14,547.262462,553.642508,543.702467,552.702492,1932200,552.702492,BUY
5/22/14,541.132431,547.602445,540.782472,545.062459,1615800,545.062459,BUY
5/21/14,532.902462,539.185441,531.912381,538.942465,1196300,538.942465,BUY
5/20/14,529.742368,536.232396,526.302392,529.772418,1784800,529.772418,BUY
5/19/14,519.702382,529.782456,517.58537,528.862391,1277800,528.862391,BUY
5/16/14,521.39238,521.802379,515.442347,520.632362,1485300,520.632362,BUY
5/15/14,525.702357,525.872379,517.422325,519.982324,1704400,519.982324,BUY
5/14/14,533.002407,533.002407,525.292358,526.652412,1191800,526.652412,SELL
5/13/14,530.892433,536.072411,529.512428,533.092437,1653400,533.092437,SELL
5/12/14,523.512391,530.192393,519.012379,529.922366,1912500,529.922366,BUY
5/9/14,510.75233,519.902393,504.202292,518.732314,2439500,518.732314,BUY
5/8/14,508.462297,517.23229,506.452298,511.002313,2021300,511.002313,BUY
5/7/14,515.792305,516.68232,503.302272,509.962291,3224300,509.962291,BUY
5/6/14,525.232379,526.812396,515.062337,515.14233,1689000,515.14233,SELL
5/5/14,524.822381,528.902418,521.322364,527.812392,1024100,527.812392,SELL
5/2/14,533.762426,534.002403,525.612389,527.932411,1688500,527.932411,SELL
5/1/14,527.112352,532.932391,523.882364,531.352374,1905500,531.352374,SELL
4/30/14,527.602343,528.002366,522.522372,526.662388,1751200,526.662388,BUY
4/29/14,516.902344,529.462425,516.322324,527.70241,2699100,527.70241,SELL
4/28/14,517.182348,518.602319,502.802274,517.152359,3335500,517.152359,BUY
4/25/14,522.512395,524.702361,515.422333,516.182352,2100400,516.182352,BUY
4/24/14,530.072374,531.652452,522.122349,525.162363,1883200,525.162363,SELL
4/23/14,533.792415,533.872408,526.252389,526.942391,2052300,526.942391,SELL
4/22/14,528.642427,537.232391,527.512375,534.812425,2365400,534.812425,SELL
4/21/14,536.1024,536.702435,525.602352,528.622414,2566700,528.622414,BUY
4/17/14,548.81249,549.502492,531.152424,536.1024,6809500,536.1024,SELL
4/16/14,543.002488,557.002492,540.00244,556.54249,4893300,556.54249,SELL
4/15/14,536.822454,538.452473,518.462348,536.442444,3855100,536.442444,BUY
4/14/14,538.252462,544.102429,529.56237,532.522453,2575100,532.522453,BUY
4/11/14,532.552381,540.00244,526.532392,530.602392,3924800,530.602392,BUY
4/10/14,565.002582,565.002582,539.902495,540.952433,4036900,540.952433,SELL
4/9/14,559.622532,565.372554,552.952506,564.142557,3330800,564.142557,SELL
4/8/14,542.602466,555.0025,541.612446,554.902556,3151200,554.902556,BUY
4/7/14,540.742445,548.482483,527.15244,538.152456,4401700,538.152456,BUY
4/4/14,574.652643,577.77265,543.002488,543.14246,6369300,543.14246,SELL
4/3/14,569.852553,587.282679,564.132581,569.742571,5099200,569.742571,SELL
4/2/14,599.992707,604.832763,562.192568,567.002574,147100,567.002574,BUY
4/1/14,558.712565,568.452595,558.712565,567.162558,7900,567.162558,SELL
3/31/14,566.892592,567.002574,556.932537,556.972503,10800,556.972503,BUY
3/28/14,561.202549,566.43259,558.672477,559.992504,41200,559.992504,SELL
3/27/14,568.00257,568.00257,552.922516,558.462551,13100,558.462551,BUY
